DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Swimming Pool Attendances,5567088,4531433,2534088,2245729,6523377,6505288,7062603,7081651,6898517,6870183,6724546,7034166
Gymnasium Attendances,4020748,3053985,1969873,2098930,2900537,2430080,2477814,2451235,2554524,2562218,2523844,2298340
Total Bookings,1630220,1517494,1239746,881178,1296245,1212216,1256010,1161428,1162779,1041967,933589,933687
    Badminton Bookings,961758,897381,690325,479889,815257,774341,727432,669217,638485,579431,526660,538381
    Tennis Bookings,205701,206559,234062,167999,183335,168573,156807,155931,168182,161888,133227,141621
    Table-Tennis Bookings,250233,233425,174185,126605,146086,130232,120260,116237,105218,96274,84104,86706
    Basketball Bookings,26346,16970,7366,5777,17883,16555,48016,33978,34661,41883,39362,27646
    Squash Bookings,70092,66718,67737,57448,54470,52896,54591,54704,54973,41742,37610,34479
    Football Bookings,34554,32022,15825,11861,26640,23651,27882,27133,28470,29074,27944,29487
    Volleyball Bookings,15259,14733,8047,4746,13489,10086,22965,29540,29418,21188,13988,14182
    Netball Bookings,8869,8700,6443,6427,6889,7235,7379,6380,9427,7339,7651,7549
    Hockey Bookings,8118,6726,4730,2486,6144,6057,6499,5933,6601,5268,5345,4800
    Rugby Bookings,740,482,74,277,553,574,636,638,521,399,533,608
    Athletics Bookings,2134,2570,2222,1094,2420,2026,2398,2939,2358,642,277,324
    Others,46416,31208,28730,16569,23079,19990,81145,58798,84465,56839,56888,47904
